Train Name,From,To,Departure Date,Departure Time,Arrival Time,Base Price,Total Seats
SE4,Hà Nội,Hải Phòng,2026-04-13,10:15,16:30,150000,248
SE3,Hải Phòng,Hà Nội,2026-04-13,14:15,07:30,150000,248
SE1,Hà Nội,Nha Trang,2026-04-13,10:30,16:00,950000,248
SE2,Nha Trang,Hà Nội,2026-04-13,13:00,05:45,950000,248
SE9,TP Hồ Chí Minh,Đà Nẵng,2026-04-13,07:45,16:45,850000,248
SE10,Đà Nẵng,TP Hồ Chí Minh,2026-04-13,15:45,04:45,850000,248
SE4,TP Hồ Chí Minh,Nha Trang,2026-04-13,10:45,17:30,500000,248
SE3,Nha Trang,TP Hồ Chí Minh,2026-04-13,14:30,07:45,500000,248
VĐ1,TP Hồ Chí Minh,Bình Thuận,2026-04-13,10:00,21:00,350000,248
TN1,Bình Thuận,TP Hồ Chí Minh,2026-04-13,17:45,06:15,350000,248
SE1,Đà Nẵng,Huế,2026-04-13,07:00,17:45,120000,248
VĐ2,Huế,Đà Nẵng,2026-04-13,15:30,05:00,120000,248
TN2,Đà Nẵng,Nha Trang,2026-04-13,07:15,20:45,450000,248
SE1,Nha Trang,Đà Nẵng,2026-04-13,14:45,04:15,450000,248
NA1,Hà Nội,TP Hồ Chí Minh,2026-04-14,06:15,21:15,1200000,248
SE3,TP Hồ Chí Minh,Hà Nội,2026-04-14,13:45,07:30,1200000,248
SE9,Hà Nội,Đà Nẵng,2026-04-14,12:15,21:15,800000,248
HP1,Đà Nẵng,Hà Nội,2026-04-14,13:00,04:00,800000,248
SE1,Hà Nội,Vinh,2026-04-14,05:30,21:15,300000,248
SE2,Vinh,Hà Nội,2026-04-14,16:00,07:30,300000,248
SE4,Hà Nội,Huế,2026-04-14,05:15,19:00,650000,248
NA2,Huế,Hà Nội,2026-04-14,16:00,04:45,650000,248
SE3,Hà Nội,Lào Cai,2026-04-14,07:15,18:15,400000,248
SE8,Lào Cai,Hà Nội,2026-04-14,14:45,05:45,400000,248
HP1,Hà Nội,Hải Phòng,2026-04-14,05:00,21:00,150000,248
HP2,Hải Phòng,Hà Nội,2026-04-14,15:00,07:00,150000,248
VĐ2,Hà Nội,Nha Trang,2026-04-14,12:30,19:45,950000,248
NA1,Nha Trang,Hà Nội,2026-04-14,15:15,04:00,950000,248
SE1,TP Hồ Chí Minh,Đà Nẵng,2026-04-14,05:00,21:30,850000,248
SE5,Đà Nẵng,TP Hồ Chí Minh,2026-04-14,18:15,05:45,850000,248
HP1,TP Hồ Chí Minh,Nha Trang,2026-04-14,10:45,19:15,500000,248
SE6,Nha Trang,TP Hồ Chí Minh,2026-04-14,17:45,05:00,500000,248
SE9,TP Hồ Chí Minh,Bình Thuận,2026-04-14,12:00,16:00,350000,248
SE6,Bình Thuận,TP Hồ Chí Minh,2026-04-14,13:45,06:30,350000,248
SE8,Đà Nẵng,Huế,2026-04-14,09:45,18:00,120000,248
NA1,Huế,Đà Nẵng,2026-04-14,17:00,04:15,120000,248
SE5,Đà Nẵng,Nha Trang,2026-04-14,08:30,21:15,450000,248
SE6,Nha Trang,Đà Nẵng,2026-04-14,13:30,07:45,450000,248
NA1,Hà Nội,TP Hồ Chí Minh,2026-04-15,09:15,19:30,1200000,248
SPT2,TP Hồ Chí Minh,Hà Nội,2026-04-15,18:45,07:45,1200000,248
NA1,Hà Nội,Đà Nẵng,2026-04-15,12:30,19:30,800000,248
SE4,Đà Nẵng,Hà Nội,2026-04-15,18:00,04:45,800000,248
SPT1,Hà Nội,Vinh,2026-04-15,09:15,20:30,300000,248
VĐ2,Vinh,Hà Nội,2026-04-15,14:00,05:00,300000,248
SPT2,Hà Nội,Huế,2026-04-15,10:00,17:00,650000,248
TN2,Huế,Hà Nội,2026-04-15,17:15,06:45,650000,248
NA2,Hà Nội,Lào Cai,2026-04-15,05:30,18:15,400000,248
HP2,Lào Cai,Hà Nội,2026-04-15,17:00,05:15,400000,248
SPT1,Hà Nội,Hải Phòng,2026-04-15,08:30,19:30,150000,248
SE5,Hải Phòng,Hà Nội,2026-04-15,14:15,04:00,150000,248
VĐ1,Hà Nội,Nha Trang,2026-04-15,06:30,16:00,950000,248
SE4,Nha Trang,Hà Nội,2026-04-15,16:15,07:30,950000,248
SE2,TP Hồ Chí Minh,Đà Nẵng,2026-04-15,09:00,21:45,850000,248
VĐ1,Đà Nẵng,TP Hồ Chí Minh,2026-04-15,13:00,05:15,850000,248
SE6,TP Hồ Chí Minh,Nha Trang,2026-04-15,07:00,17:15,500000,248
NA2,Nha Trang,TP Hồ Chí Minh,2026-04-15,13:30,07:15,500000,248
NA1,TP Hồ Chí Minh,Bình Thuận,2026-04-15,09:30,16:30,350000,248
SPT2,Bình Thuận,TP Hồ Chí Minh,2026-04-15,13:30,05:45,350000,248
SE7,Đà Nẵng,Huế,2026-04-15,10:15,18:00,120000,248
SE10,Huế,Đà Nẵng,2026-04-15,18:45,07:15,120000,248
SE1,Đà Nẵng,Nha Trang,2026-04-15,11:45,16:30,450000,248
NA1,Nha Trang,Đà Nẵng,2026-04-15,14:00,06:15,450000,248
SE9,Hà Nội,TP Hồ Chí Minh,2026-04-16,08:45,19:45,1200000,248
SE10,TP Hồ Chí Minh,Hà Nội,2026-04-16,17:15,06:15,1200000,248
NA2,Hà Nội,Đà Nẵng,2026-04-16,07:45,16:00,800000,248
NA2,Đà Nẵng,Hà Nội,2026-04-16,17:45,06:45,800000,248
HP1,Hà Nội,Vinh,2026-04-16,10:30,16:30,300000,248
SE3,Vinh,Hà Nội,2026-04-16,16:30,06:30,300000,248
SPT2,Hà Nội,Huế,2026-04-16,09:00,18:15,650000,248
SE9,Huế,Hà Nội,2026-04-16,15:00,06:00,650000,248
HP2,Hà Nội,Lào Cai,2026-04-16,11:45,16:30,400000,248
HP2,Lào Cai,Hà Nội,2026-04-16,17:45,05:30,400000,248
SPT1,Hà Nội,Hải Phòng,2026-04-16,10:30,21:30,150000,248
SE4,Hải Phòng,Hà Nội,2026-04-16,17:00,06:15,150000,248
SE6,Hà Nội,Nha Trang,2026-04-16,12:00,16:30,950000,248
NA1,Nha Trang,Hà Nội,2026-04-16,13:30,07:00,950000,248
SE6,TP Hồ Chí Minh,Đà Nẵng,2026-04-16,08:15,21:45,850000,248
SPT1,Đà Nẵng,TP Hồ Chí Minh,2026-04-16,14:15,05:30,850000,248
SE6,TP Hồ Chí Minh,Nha Trang,2026-04-16,06:45,16:45,500000,248
NA2,Nha Trang,TP Hồ Chí Minh,2026-04-16,15:00,04:00,500000,248
NA1,TP Hồ Chí Minh,Bình Thuận,2026-04-16,07:45,17:00,350000,248
NA2,Bình Thuận,TP Hồ Chí Minh,2026-04-16,15:15,06:00,350000,248
TN2,Đà Nẵng,Huế,2026-04-16,12:00,20:00,120000,248
TN2,Huế,Đà Nẵng,2026-04-16,17:15,07:45,120000,248
TN2,Đà Nẵng,Nha Trang,2026-04-16,05:00,19:45,450000,248
SE6,Nha Trang,Đà Nẵng,2026-04-16,16:15,04:30,450000,248
SPT2,Hà Nội,TP Hồ Chí Minh,2026-04-17,12:30,21:30,1200000,248
SE1,TP Hồ Chí Minh,Hà Nội,2026-04-17,14:30,06:45,1200000,248
SPT1,Hà Nội,Đà Nẵng,2026-04-17,08:45,19:45,800000,248
SE3,Đà Nẵng,Hà Nội,2026-04-17,14:45,06:30,800000,248
SE6,Hà Nội,Vinh,2026-04-17,08:00,16:00,300000,248
NA1,Vinh,Hà Nội,2026-04-17,13:45,06:15,300000,248
SE8,Hà Nội,Huế,2026-04-17,07:00,17:00,650000,248
SE9,Huế,Hà Nội,2026-04-17,16:30,06:00,650000,248
TN1,Hà Nội,Lào Cai,2026-04-17,12:30,20:00,400000,248
VĐ2,Lào Cai,Hà Nội,2026-04-17,18:00,07:15,400000,248
TN2,Hà Nội,Hải Phòng,2026-04-17,10:30,17:00,150000,248
SPT2,Hải Phòng,Hà Nội,2026-04-17,17:15,06:15,150000,248
VĐ2,Hà Nội,Nha Trang,2026-04-17,12:00,21:30,950000,248
NA1,Nha Trang,Hà Nội,2026-04-17,14:30,04:15,950000,248
SE2,TP Hồ Chí Minh,Đà Nẵng,2026-04-17,10:30,16:45,850000,248
TN2,Đà Nẵng,TP Hồ Chí Minh,2026-04-17,14:15,07:00,850000,248
TN1,TP Hồ Chí Minh,Nha Trang,2026-04-17,05:30,19:30,500000,248
SE9,Nha Trang,TP Hồ Chí Minh,2026-04-17,16:00,07:15,500000,248
SE4,TP Hồ Chí Minh,Bình Thuận,2026-04-17,09:30,18:30,350000,248
SE6,Bình Thuận,TP Hồ Chí Minh,2026-04-17,16:15,04:30,350000,248
VĐ1,Đà Nẵng,Huế,2026-04-17,12:00,18:00,120000,248
NA1,Huế,Đà Nẵng,2026-04-17,18:30,05:00,120000,248
SE9,Đà Nẵng,Nha Trang,2026-04-17,06:00,16:45,450000,248
TN1,Nha Trang,Đà Nẵng,2026-04-17,16:00,05:15,450000,248
SE10,Hà Nội,TP Hồ Chí Minh,2026-04-18,11:45,17:15,1200000,248
TN1,TP Hồ Chí Minh,Hà Nội,2026-04-18,14:45,06:30,1200000,248
NA2,Hà Nội,Đà Nẵng,2026-04-18,12:00,18:30,800000,248
TN2,Đà Nẵng,Hà Nội,2026-04-18,16:45,06:45,800000,248
NA1,Hà Nội,Vinh,2026-04-18,06:15,17:00,300000,248
SE10,Vinh,Hà Nội,2026-04-18,14:30,05:00,300000,248
SPT1,Hà Nội,Huế,2026-04-18,08:00,16:00,650000,248
SE10,Huế,Hà Nội,2026-04-18,14:15,06:30,650000,248
SE10,Hà Nội,Lào Cai,2026-04-18,07:00,20:00,400000,248
SE4,Lào Cai,Hà Nội,2026-04-18,13:30,05:45,400000,248
VĐ2,Hà Nội,Hải Phòng,2026-04-18,11:30,18:30,150000,248
VĐ1,Hải Phòng,Hà Nội,2026-04-18,15:00,07:30,150000,248
TN2,Hà Nội,Nha Trang,2026-04-18,11:00,20:45,950000,248
SE2,Nha Trang,Hà Nội,2026-04-18,15:30,07:15,950000,248
VĐ1,TP Hồ Chí Minh,Đà Nẵng,2026-04-18,10:00,17:45,850000,248
NA2,Đà Nẵng,TP Hồ Chí Minh,2026-04-18,17:45,05:00,850000,248
SE9,TP Hồ Chí Minh,Nha Trang,2026-04-18,06:00,20:15,500000,248
SE8,Nha Trang,TP Hồ Chí Minh,2026-04-18,16:45,05:00,500000,248
SE10,TP Hồ Chí Minh,Bình Thuận,2026-04-18,12:45,20:15,350000,248
SPT2,Bình Thuận,TP Hồ Chí Minh,2026-04-18,16:00,04:30,350000,248
SE1,Đà Nẵng,Huế,2026-04-18,06:30,18:30,120000,248
TN1,Huế,Đà Nẵng,2026-04-18,18:00,06:30,120000,248
SE3,Đà Nẵng,Nha Trang,2026-04-18,10:45,18:15,450000,248
SE6,Nha Trang,Đà Nẵng,2026-04-18,13:00,06:30,450000,248
SPT1,Hà Nội,TP Hồ Chí Minh,2026-04-19,06:00,21:30,1200000,248
SE9,TP Hồ Chí Minh,Hà Nội,2026-04-19,14:15,04:00,1200000,248
VĐ1,Hà Nội,Đà Nẵng,2026-04-19,11:30,17:15,800000,248
SE10,Đà Nẵng,Hà Nội,2026-04-19,18:15,04:00,800000,248
TN2,Hà Nội,Vinh,2026-04-19,11:45,16:30,300000,248
SE6,Vinh,Hà Nội,2026-04-19,17:00,06:15,300000,248
SE3,Hà Nội,Huế,2026-04-19,12:30,18:30,650000,248
NA2,Huế,Hà Nội,2026-04-19,18:30,07:00,650000,248
SE4,Hà Nội,Lào Cai,2026-04-19,11:00,21:45,400000,248
SPT2,Lào Cai,Hà Nội,2026-04-19,16:45,04:30,400000,248
SE2,Hà Nội,Hải Phòng,2026-04-19,07:45,17:15,150000,248
SE3,Hải Phòng,Hà Nội,2026-04-19,17:30,07:30,150000,248
HP1,Hà Nội,Nha Trang,2026-04-19,06:15,17:45,950000,248
SE4,Nha Trang,Hà Nội,2026-04-19,17:15,04:45,950000,248
SE8,TP Hồ Chí Minh,Đà Nẵng,2026-04-19,10:45,21:30,850000,248
TN1,Đà Nẵng,TP Hồ Chí Minh,2026-04-19,15:00,05:00,850000,248
SE2,TP Hồ Chí Minh,Nha Trang,2026-04-19,08:45,19:15,500000,248
TN1,Nha Trang,TP Hồ Chí Minh,2026-04-19,13:45,05:00,500000,248
VĐ1,TP Hồ Chí Minh,Bình Thuận,2026-04-19,09:00,16:45,350000,248
SE3,Bình Thuận,TP Hồ Chí Minh,2026-04-19,13:15,05:00,350000,248
HP1,Đà Nẵng,Huế,2026-04-19,11:45,21:15,120000,248
VĐ2,Huế,Đà Nẵng,2026-04-19,18:00,07:15,120000,248
VĐ1,Đà Nẵng,Nha Trang,2026-04-19,06:45,20:45,450000,248
TN2,Nha Trang,Đà Nẵng,2026-04-19,18:15,06:00,450000,248
SE8,Hà Nội,TP Hồ Chí Minh,2026-04-20,09:30,20:30,1200000,248
SE2,TP Hồ Chí Minh,Hà Nội,2026-04-20,17:45,06:15,1200000,248
SE9,Hà Nội,Đà Nẵng,2026-04-20,10:15,17:30,800000,248
SE8,Đà Nẵng,Hà Nội,2026-04-20,13:15,05:45,800000,248
NA2,Hà Nội,Vinh,2026-04-20,11:15,16:45,300000,248
SE7,Vinh,Hà Nội,2026-04-20,17:30,05:45,300000,248
NA1,Hà Nội,Huế,2026-04-20,10:30,18:15,650000,248
HP2,Huế,Hà Nội,2026-04-20,13:45,06:45,650000,248
NA2,Hà Nội,Lào Cai,2026-04-20,09:00,20:45,400000,248
SE3,Lào Cai,Hà Nội,2026-04-20,17:30,06:00,400000,248
SE8,Hà Nội,Hải Phòng,2026-04-20,09:30,20:00,150000,248
SE5,Hải Phòng,Hà Nội,2026-04-20,16:15,06:15,150000,248
SE7,Hà Nội,Nha Trang,2026-04-20,05:00,16:00,950000,248
TN1,Nha Trang,Hà Nội,2026-04-20,16:00,07:30,950000,248
VĐ1,TP Hồ Chí Minh,Đà Nẵng,2026-04-20,05:00,20:45,850000,248
SPT1,Đà Nẵng,TP Hồ Chí Minh,2026-04-20,16:15,07:45,850000,248
HP2,TP Hồ Chí Minh,Nha Trang,2026-04-20,11:45,17:45,500000,248
HP1,Nha Trang,TP Hồ Chí Minh,2026-04-20,16:15,06:30,500000,248
SE7,TP Hồ Chí Minh,Bình Thuận,2026-04-20,12:00,16:30,350000,248
SE3,Bình Thuận,TP Hồ Chí Minh,2026-04-20,18:30,07:00,350000,248
SE6,Đà Nẵng,Huế,2026-04-20,05:45,20:45,120000,248
SPT1,Huế,Đà Nẵng,2026-04-20,13:30,04:15,120000,248
SE8,Đà Nẵng,Nha Trang,2026-04-20,11:30,17:30,450000,248
SE6,Nha Trang,Đà Nẵng,2026-04-20,13:30,05:00,450000,248
HP1,Hà Nội,TP Hồ Chí Minh,2026-04-21,05:00,16:15,1200000,248
SE5,TP Hồ Chí Minh,Hà Nội,2026-04-21,16:30,05:00,1200000,248
SE8,Hà Nội,Đà Nẵng,2026-04-21,05:45,16:15,800000,248
SE2,Đà Nẵng,Hà Nội,2026-04-21,13:15,06:15,800000,248
SE6,Hà Nội,Vinh,2026-04-21,06:00,16:30,300000,248
SE9,Vinh,Hà Nội,2026-04-21,13:15,07:30,300000,248
HP1,Hà Nội,Huế,2026-04-21,11:30,19:00,650000,248
SE6,Huế,Hà Nội,2026-04-21,13:15,05:45,650000,248
SE7,Hà Nội,Lào Cai,2026-04-21,08:30,16:45,400000,248
SE6,Lào Cai,Hà Nội,2026-04-21,14:30,05:00,400000,248
SE9,Hà Nội,Hải Phòng,2026-04-21,06:45,21:45,150000,248
VĐ2,Hải Phòng,Hà Nội,2026-04-21,17:00,07:30,150000,248
SE2,Hà Nội,Nha Trang,2026-04-21,09:45,19:30,950000,248
SE4,Nha Trang,Hà Nội,2026-04-21,13:45,04:00,950000,248
VĐ1,TP Hồ Chí Minh,Đà Nẵng,2026-04-21,11:45,16:00,850000,248
SE3,Đà Nẵng,TP Hồ Chí Minh,2026-04-21,14:15,04:15,850000,248
SE4,TP Hồ Chí Minh,Nha Trang,2026-04-21,08:15,16:30,500000,248
SE9,Nha Trang,TP Hồ Chí Minh,2026-04-21,17:30,05:15,500000,248
SE10,TP Hồ Chí Minh,Bình Thuận,2026-04-21,08:45,18:00,350000,248
TN1,Bình Thuận,TP Hồ Chí Minh,2026-04-21,15:45,07:00,350000,248
SE5,Đà Nẵng,Huế,2026-04-21,11:15,17:00,120000,248
SE8,Huế,Đà Nẵng,2026-04-21,18:30,07:45,120000,248
HP2,Đà Nẵng,Nha Trang,2026-04-21,06:00,17:30,450000,248
NA1,Nha Trang,Đà Nẵng,2026-04-21,18:30,04:30,450000,248
SE3,Hà Nội,TP Hồ Chí Minh,2026-04-22,07:00,20:15,1200000,248
SE8,TP Hồ Chí Minh,Hà Nội,2026-04-22,16:00,04:00,1200000,248
SE9,Hà Nội,Đà Nẵng,2026-04-22,09:30,21:15,800000,248
TN2,Đà Nẵng,Hà Nội,2026-04-22,14:15,04:15,800000,248
SE2,Hà Nội,Vinh,2026-04-22,12:45,20:30,300000,248
NA1,Vinh,Hà Nội,2026-04-22,15:15,07:00,300000,248
VĐ1,Hà Nội,Huế,2026-04-22,12:30,21:00,650000,248
SE6,Huế,Hà Nội,2026-04-22,18:30,04:15,650000,248
SPT2,Hà Nội,Lào Cai,2026-04-22,10:00,16:15,400000,248
SPT1,Lào Cai,Hà Nội,2026-04-22,18:15,05:45,400000,248
HP1,Hà Nội,Hải Phòng,2026-04-22,09:00,16:30,150000,248
SE2,Hải Phòng,Hà Nội,2026-04-22,15:30,06:15,150000,248
VĐ2,Hà Nội,Nha Trang,2026-04-22,10:00,16:30,950000,248
SE5,Nha Trang,Hà Nội,2026-04-22,14:30,06:30,950000,248
TN1,TP Hồ Chí Minh,Đà Nẵng,2026-04-22,06:30,20:00,850000,248
SE5,Đà Nẵng,TP Hồ Chí Minh,2026-04-22,16:45,07:00,850000,248
TN1,TP Hồ Chí Minh,Nha Trang,2026-04-22,12:30,18:30,500000,248
NA2,Nha Trang,TP Hồ Chí Minh,2026-04-22,16:30,04:30,500000,248
SE3,TP Hồ Chí Minh,Bình Thuận,2026-04-22,05:00,18:30,350000,248
SE7,Bình Thuận,TP Hồ Chí Minh,2026-04-22,16:00,06:15,350000,248
SE3,Đà Nẵng,Huế,2026-04-22,05:45,18:15,120000,248
SPT1,Huế,Đà Nẵng,2026-04-22,13:00,07:15,120000,248
SE5,Đà Nẵng,Nha Trang,2026-04-22,09:30,17:15,450000,248
VĐ1,Nha Trang,Đà Nẵng,2026-04-22,14:30,06:30,450000,248
SE5,Hà Nội,TP Hồ Chí Minh,2026-04-23,11:15,19:15,1200000,248
SPT1,TP Hồ Chí Minh,Hà Nội,2026-04-23,13:45,05:30,1200000,248
HP1,Hà Nội,Đà Nẵng,2026-04-23,08:15,16:45,800000,248
SE2,Đà Nẵng,Hà Nội,2026-04-23,18:15,06:45,800000,248
HP1,Hà Nội,Vinh,2026-04-23,10:15,20:30,300000,248
SE9,Vinh,Hà Nội,2026-04-23,18:15,05:15,300000,248
SE7,Hà Nội,Huế,2026-04-23,06:30,16:00,650000,248
